scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
ros-stream-rcs-jpeg-rtp,stream,824,840,0.0190,30.00,12.991,0.727,12.887,14.207,15.398,16.348,15.985,3.098,0,884,884,1.0000,13.18,14.00
cam-both-rcs-yuv-webrtc,stream,823,840,0.0202,30.00,11.014,0.415,10.883,11.776,12.442,13.477,11.521,0.638,0,883,883,1.0000,32.32,34.00
cam-both-rcs-yuv-webrtc,ros_raw,900,840,0.0000,30.01,8.958,0.520,8.893,9.311,10.256,17.737,9.530,0.638,0,960,960,1.0000,32.32,34.00
cam-stream-gscam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.571,0.488,16.541,17.103,18.397,20.771,17.167,0.626,0,897,897,1.0000,34.68,38.00
cam-stream-usb_cam+rtsp_fkie-yuv-h264,stream,835,840,0.0060,30.00,14.879,0.471,14.796,15.507,16.554,19.872,15.432,0.636,0,895,895,1.0000,27.29,30.00
cam-both-rcs-yuv-rtp,stream,824,840,0.0190,30.00,10.581,0.594,10.551,11.204,13.084,13.843,11.174,0.623,0,884,884,1.0000,33.00,34.00
cam-both-rcs-yuv-rtp,ros_raw,825,840,0.0179,30.00,8.991,0.474,8.918,9.385,10.216,14.959,9.541,0.623,0,885,885,1.0000,33.00,34.00
cam-ros-gscam-mjpeg,ros_raw,823,840,0.0202,30.00,9.096,0.532,9.038,9.702,11.058,16.625,12.353,3.315,0,883,883,1.0000,26.21,28.00
cam-ros-rcs-mjpeg,ros_jpeg,828,840,0.0143,30.00,2.545,0.287,2.513,3.055,3.231,3.960,5.700,3.187,0,888,888,1.0000,0.86,2.00
cam-ros-usb_cam-mjpeg,ros_raw,821,840,0.0226,30.00,6.543,0.329,6.506,7.126,7.385,7.965,9.813,3.307,0,881,881,1.0000,17.32,20.00
cam-ros-usb_cam-yuv,ros_raw,824,840,0.0190,30.00,6.274,0.257,6.247,6.582,6.974,10.270,6.886,0.639,0,884,884,1.0000,14.96,16.00
cam-both-rcs-mjpeg-decoded-rtp,stream,820,840,0.0238,30.00,9.043,0.562,9.002,9.904,10.621,11.306,12.348,3.346,0,880,880,1.0000,21.61,22.50
cam-both-rcs-mjpeg-decoded-rtp,ros_raw,820,840,0.0238,30.00,8.926,0.472,8.867,9.467,10.940,14.650,12.213,3.346,0,880,880,1.0000,21.61,22.50
cam-stream-usb_cam+ffmpeg_transport-yuv-h264,stream,833,840,0.0083,30.00,21.185,0.475,21.124,21.888,22.571,25.650,21.750,0.626,0,893,893,1.0000,32.82,34.00
cam-stream-rcs-yuv-webrtc,stream,818,840,0.0262,30.00,9.328,0.507,9.298,9.839,11.334,13.487,9.924,0.626,0,878,878,1.0000,9.18,10.50
cam-both-usb_cam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,17.837,0.644,17.743,18.959,20.783,21.922,18.375,0.632,0,897,897,1.0000,38.68,42.00
cam-both-usb_cam+gst_bridge-yuv-rtp,ros_raw,854,840,0.0000,30.01,7.620,0.484,7.561,7.926,9.449,14.713,8.193,0.632,0,914,914,1.0000,38.68,42.00
