scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
cam-both-gscam+gst_bridge-mjpeg-rtp,ros_raw,847,840,0.0000,30.00,7.934,0.360,7.937,8.497,8.883,10.173,11.238,3.301,0,907,907,1.0000,40.43,42.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,stream,833,840,0.0083,30.00,21.248,0.739,21.221,22.151,23.662,29.647,21.855,0.634,0,893,893,1.0000,36.14,38.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,ros_raw,900,840,0.0000,30.00,14.457,1.737,14.612,15.389,16.941,39.280,15.246,0.634,0,960,960,1.0000,36.14,38.00
ros-stream-ffmpeg_transport-raw-h264,stream,834,840,0.0071,30.00,22.669,0.600,22.580,23.635,25.053,29.706,22.580,0.000,0,894,894,1.0000,,
cam-ros-usb_cam-yuv,ros_raw,818,840,0.0262,30.00,6.409,0.254,6.385,6.720,7.383,8.559,7.032,0.647,0,878,878,1.0000,15.46,16.50
cam-ros-gscam-yuv,ros_raw,826,840,0.0167,30.01,8.961,0.602,8.866,9.394,11.526,17.355,9.516,0.650,0,886,886,1.0000,24.36,26.50
cam-both-rcs-mjpeg-rtp,stream,818,840,0.0262,30.00,8.846,0.536,8.776,9.732,10.587,11.629,12.173,3.397,0,878,878,1.0000,3.68,6.00
cam-both-rcs-mjpeg-rtp,ros_jpeg,819,840,0.0250,30.00,2.654,0.381,2.618,3.223,4.150,5.619,6.015,3.397,0,879,879,1.0000,3.68,6.00
cam-both-rcs-yuv-webrtc,stream,818,840,0.0262,30.00,9.515,0.791,9.353,11.211,12.773,14.435,9.990,0.637,0,878,878,1.0000,23.57,26.00
cam-both-rcs-yuv-webrtc,ros_raw,900,840,0.0000,30.00,6.484,0.420,6.425,6.786,7.378,11.122,7.062,0.637,0,960,960,1.0000,23.57,26.00
cam-both-gscam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,20.064,0.647,19.990,20.872,22.694,25.558,20.623,0.632,0,897,897,1.0000,47.14,50.00
cam-both-gscam+gst_bridge-yuv-rtp,ros_raw,855,840,0.0000,30.00,9.936,0.267,9.897,10.411,10.686,11.032,10.529,0.632,0,915,915,1.0000,47.14,50.00
cam-stream-rcs-yuv-webrtc,stream,824,840,0.0190,30.00,9.308,0.480,9.275,10.026,11.353,12.405,9.905,0.630,0,884,884,1.0000,9.18,12.00
cam-ros-usb_cam-mjpeg,ros_raw,822,840,0.0214,30.01,6.620,0.875,6.526,7.150,10.979,15.381,9.835,3.309,0,882,882,1.0000,17.64,21.00
cam-stream-usb_cam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.378,0.474,16.346,16.911,18.468,20.127,16.984,0.638,0,897,897,1.0000,34.04,36.50
cam-stream-floor,stream,839,840,0.0012,30.00,8.408,0.592,8.357,8.861,10.774,14.173,8.993,0.636,0,899,899,1.0000,7.89,10.50
ros-stream-web_video_server-raw-mjpeg,stream,836,840,0.0048,30.00,11.917,0.945,11.799,13.422,16.017,18.296,16.537,4.738,0,896,896,1.0000,35.54,38.00
cam-stream-rcs-yuv-rtp,stream,825,840,0.0179,30.00,10.251,0.620,10.172,11.295,12.750,15.264,10.810,0.638,0,885,885,1.0000,9.54,12.00
cam-both-rcs-mjpeg-decoded-rtp,stream,817,840,0.0274,30.00,8.573,0.579,8.532,9.399,10.811,11.667,11.917,3.385,0,877,877,1.0000,29.86,34.50
cam-both-rcs-mjpeg-decoded-rtp,ros_raw,817,840,0.0274,30.01,10.898,0.418,10.864,11.459,11.928,18.093,14.248,3.385,0,877,877,1.0000,29.86,34.50
ros-stream-rcs-raw-webrtc,stream,826,840,0.0167,30.00,15.582,0.614,15.514,16.545,17.737,20.438,20.234,4.720,0,886,886,1.0000,18.89,20.00
cam-ros-gscam-mjpeg,ros_raw,824,840,0.0190,30.00,9.133,0.468,9.096,9.695,10.209,16.994,12.404,3.308,0,884,884,1.0000,26.50,28.00
