scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
cam-both-usb_cam+gst_bridge-yuv-rtp,ros_raw,854,840,0.0000,30.00,7.555,0.300,7.527,7.931,8.474,11.923,8.160,0.633,0,914,914,1.0000,38.14,42.00
cam-both-rcs-mjpeg-decoded-rtp,stream,826,840,0.0167,30.00,9.140,0.546,9.079,9.958,10.708,12.913,12.373,3.294,0,886,886,1.0000,21.46,22.50
cam-both-rcs-mjpeg-decoded-rtp,ros_raw,826,840,0.0167,30.01,8.980,0.647,8.897,9.498,10.733,20.907,12.191,3.294,0,886,886,1.0000,21.46,22.50
ros-stream-rcs-raw-webrtc,stream,827,840,0.0155,30.00,15.759,0.723,15.669,16.911,18.612,22.573,20.425,4.756,0,887,887,1.0000,19.25,22.00
cam-ros-rcs-mjpeg-decoded,ros_raw,817,840,0.0274,30.00,9.530,0.520,9.539,10.068,10.639,15.564,12.763,3.224,0,877,877,1.0000,17.89,20.00
cam-stream-usb_cam+web_video_server-yuv-mjpeg,stream,836,840,0.0048,30.00,15.160,0.877,15.050,16.686,18.571,21.389,15.684,0.635,0,896,896,1.0000,49.71,52.00
cam-stream-usb_cam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.155,0.527,16.123,16.879,18.009,20.294,16.756,0.634,0,897,897,1.0000,33.61,36.00
cam-ros-usb_cam-mjpeg,ros_raw,823,840,0.0202,30.01,6.631,0.485,6.610,7.248,7.668,13.515,9.905,3.295,0,883,883,1.0000,17.54,20.00
cam-both-gscam+gst_bridge-mjpeg-rtp,stream,838,840,0.0024,30.00,20.217,0.644,20.174,21.109,22.385,23.708,23.489,3.315,0,898,898,1.0000,49.14,52.00
cam-both-gscam+gst_bridge-mjpeg-rtp,ros_raw,849,840,0.0000,30.01,10.232,0.640,10.182,10.807,11.399,20.629,13.496,3.315,0,909,909,1.0000,49.14,52.00
ros-stream-ffmpeg_transport-raw-h264,stream,834,840,0.0071,30.00,22.724,0.602,22.624,23.586,24.487,32.080,22.624,0.000,0,894,894,1.0000,,
ros-stream-rcs-raw-rtp,stream,822,840,0.0214,30.00,16.745,0.809,16.600,17.884,19.407,25.524,21.362,4.762,0,882,882,1.0000,19.25,22.00
ros-stream-gst_bridge-raw-rtp,stream,837,840,0.0036,30.00,15.213,0.591,15.151,15.848,17.392,23.035,19.853,4.702,0,897,897,1.0000,18.96,20.00
cam-ros-gscam-yuv,ros_raw,818,840,0.0262,30.00,6.480,0.206,6.463,6.826,7.087,8.099,7.108,0.645,0,878,878,1.0000,15.46,16.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,stream,835,840,0.0060,30.00,15.936,0.628,15.938,16.944,17.879,21.222,16.575,0.637,0,895,895,1.0000,30.79,34.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,ros_raw,900,840,0.0000,30.01,7.791,0.910,7.562,8.879,11.624,19.548,8.199,0.637,0,960,960,1.0000,30.79,34.00
cam-stream-usb_cam+rtsp_fkie-yuv-h264,stream,836,840,0.0048,30.00,14.941,0.560,14.832,15.878,17.007,21.886,15.472,0.640,0,896,896,1.0000,27.57,30.00
cam-stream-floor,stream,840,840,0.0000,30.00,8.527,0.725,8.406,9.960,11.926,14.272,9.043,0.638,0,900,900,1.0000,8.18,10.00
ros-stream-web_video_server-raw-mjpeg,stream,836,840,0.0048,30.00,11.853,1.025,11.707,13.349,16.769,18.301,16.468,4.761,0,896,896,1.0000,35.57,38.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,stream,834,840,0.0071,30.00,21.512,0.694,21.398,22.517,24.663,28.046,22.006,0.608,0,894,894,1.0000,36.46,38.50
cam-both-usb_cam+ffmpeg_transport-yuv-h264,ros_raw,900,840,0.0000,30.00,14.534,2.303,14.651,15.197,16.933,53.839,15.258,0.608,0,960,960,1.0000,36.46,38.50
cam-ros-gscam-mjpeg,ros_raw,818,840,0.0262,30.00,6.866,0.428,6.808,7.411,8.261,11.102,10.136,3.328,0,878,878,1.0000,18.18,20.50
ros-stream-rtsp_fkie-raw-h264,stream,835,840,0.0060,30.00,11.448,0.352,11.395,11.916,12.915,13.933,16.184,4.790,0,895,895,1.0000,12.32,14.00
cam-both-gscam+gst_bridge-yuv-rtp,stream,838,840,0.0024,30.00,20.021,0.550,19.987,20.824,21.983,23.991,20.620,0.633,0,898,898,1.0000,47.07,50.00
cam-both-gscam+gst_bridge-yuv-rtp,ros_raw,847,840,0.0000,30.00,9.916,0.247,9.890,10.302,10.737,12.308,10.523,0.633,0,907,907,1.0000,47.07,50.00
cam-ros-rcs-mjpeg,ros_jpeg,820,840,0.0238,30.00,2.439,0.323,2.407,2.935,3.279,4.517,5.686,3.280,0,880,880,1.0000,0.79,2.00
cam-stream-gscam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.538,0.572,16.481,17.556,18.640,20.106,17.115,0.633,0,897,897,1.0000,34.39,36.50
cam-ros-usb_cam-yuv,ros_raw,823,840,0.0202,30.00,6.412,0.304,6.383,6.704,7.144,10.146,7.026,0.643,0,883,883,1.0000,15.39,16.00
cam-stream-rcs-yuv-webrtc,stream,818,840,0.0262,30.00,9.407,0.486,9.394,10.013,11.284,14.054,10.028,0.634,0,878,878,1.0000,9.32,12.00
