scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
cam-stream-usb_cam+gst_bridge-yuv-rtp,stream,838,840,0.0024,30.00,16.251,0.584,16.201,16.914,18.301,22.685,16.837,0.637,0,898,898,1.0000,33.86,36.50
cam-stream-gscam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.560,0.583,16.506,17.527,18.727,20.427,17.142,0.636,0,897,897,1.0000,34.61,36.00
cam-ros-usb_cam-yuv,ros_raw,823,840,0.0202,30.00,6.373,0.520,6.316,6.705,7.629,13.407,6.958,0.643,0,883,883,1.0000,15.29,16.00
ros-stream-rtsp_fkie-raw-h264,stream,836,840,0.0048,30.00,11.503,0.438,11.447,11.946,12.881,17.814,16.241,4.795,0,896,896,1.0000,12.32,14.00
cam-stream-rcs-yuv-rtp,stream,817,840,0.0274,30.00,10.260,0.463,10.243,10.931,11.955,12.793,10.888,0.644,0,877,877,1.0000,9.39,12.00
cam-both-usb_cam+gst_bridge-yuv-rtp,stream,838,840,0.0024,30.00,17.566,0.652,17.494,18.464,20.578,22.214,18.127,0.634,0,898,898,1.0000,38.29,40.50
cam-both-usb_cam+gst_bridge-yuv-rtp,ros_raw,847,840,0.0000,30.00,7.522,0.290,7.496,7.849,8.289,11.913,8.129,0.634,0,907,907,1.0000,38.29,40.50
ros-stream-gst_bridge-raw-rtp,stream,837,840,0.0036,30.00,15.290,0.668,15.204,16.026,17.689,22.545,19.926,4.722,0,897,897,1.0000,19.11,20.00
cam-both-rcs-mjpeg-rtp,stream,824,840,0.0190,30.00,8.867,0.515,8.819,9.647,10.573,11.366,12.137,3.318,0,884,884,1.0000,3.64,6.00
cam-both-rcs-mjpeg-rtp,ros_jpeg,824,840,0.0190,30.00,2.632,0.354,2.595,3.214,4.020,4.405,5.913,3.318,0,884,884,1.0000,3.64,6.00
cam-ros-gscam-yuv,ros_raw,825,840,0.0179,30.00,8.925,0.363,8.864,9.338,10.718,12.371,9.510,0.646,0,885,885,1.0000,24.25,26.50
ros-stream-web_video_server-raw-mjpeg,stream,836,840,0.0048,30.00,12.040,1.160,11.830,14.335,16.740,17.612,16.587,4.757,0,896,896,1.0000,35.93,38.50
cam-both-gscam+gst_bridge-mjpeg-rtp,stream,838,840,0.0024,30.00,18.051,0.622,18.019,18.942,20.206,21.956,21.310,3.291,0,898,898,1.0000,40.68,42.00
cam-both-gscam+gst_bridge-mjpeg-rtp,ros_raw,854,840,0.0000,30.00,7.978,0.378,7.941,8.564,8.974,11.145,11.232,3.291,0,914,914,1.0000,40.68,42.00
cam-ros-usb_cam-mjpeg,ros_raw,815,840,0.0298,30.02,6.594,0.633,6.543,7.186,7.839,20.646,9.889,3.347,0,875,875,1.0000,17.57,20.00
cam-stream-usb_cam+rtsp_fkie-yuv-h264,stream,836,840,0.0048,30.00,14.742,0.322,14.694,15.196,16.254,16.851,15.336,0.642,0,896,896,1.0000,27.04,30.00
cam-stream-usb_cam+ffmpeg_transport-yuv-h264,stream,833,840,0.0083,30.00,21.024,0.552,20.940,21.857,22.842,25.669,21.567,0.627,0,893,893,1.0000,32.18,34.00
cam-both-rcs-yuv-webrtc,stream,820,840,0.0238,30.00,9.665,0.840,9.441,11.838,12.744,13.601,10.081,0.640,0,880,880,1.0000,24.07,26.00
cam-both-rcs-yuv-webrtc,ros_raw,900,840,0.0000,30.00,6.609,0.426,6.534,6.985,8.633,11.359,7.174,0.640,0,960,960,1.0000,24.07,26.00
cam-ros-rcs-yuv,ros_raw,828,840,0.0143,30.00,8.697,0.462,8.648,9.058,10.424,15.398,9.293,0.644,0,888,888,1.0000,22.43,24.00
ros-stream-rcs-jpeg-webrtc,stream,827,840,0.0155,30.00,12.258,0.751,12.130,13.721,14.952,15.539,15.104,2.974,0,887,887,1.0000,13.43,16.00
ros-stream-rcs-raw-webrtc,stream,798,840,0.0500,30.00,15.645,0.695,15.536,16.623,18.039,23.165,20.296,4.761,0,858,858,1.0000,19.07,20.00
