scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
cam-ros-usb_cam-mjpeg,ros_raw,816,840,0.0286,30.00,6.620,0.336,6.597,7.201,7.467,7.807,9.904,3.307,0,876,876,1.0000,17.54,20.00
ros-stream-rcs-raw-rtp,stream,823,840,0.0202,30.00,16.702,0.646,16.585,17.873,18.987,21.190,21.348,4.764,0,883,883,1.0000,19.36,22.00
ros-stream-gst_bridge-raw-rtp,stream,837,840,0.0036,30.00,15.490,0.606,15.435,16.319,17.565,22.400,20.171,4.737,0,897,897,1.0000,19.50,22.00
ros-stream-rtsp_fkie-raw-h264,stream,836,840,0.0048,30.00,11.526,0.581,11.412,12.303,13.804,18.454,16.244,4.832,0,896,896,1.0000,12.43,14.00
ros-stream-rcs-raw-webrtc,stream,798,840,0.0500,30.00,15.716,0.583,15.676,16.478,17.514,23.085,20.402,4.726,0,858,858,1.0000,19.18,20.00
cam-stream-rcs-yuv-rtp,stream,822,840,0.0214,30.00,10.329,0.508,10.267,11.054,12.260,13.686,10.903,0.636,0,882,882,1.0000,9.54,12.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,stream,837,840,0.0036,30.00,18.164,0.776,18.038,19.287,21.542,24.015,21.327,3.289,0,897,897,1.0000,41.04,44.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,ros_raw,845,840,0.0000,30.00,7.859,0.371,7.832,8.447,8.820,11.034,11.121,3.289,0,905,905,1.0000,41.04,44.00
cam-ros-gscam-yuv,ros_raw,815,840,0.0298,30.00,6.667,0.257,6.645,6.970,7.580,10.496,7.291,0.646,0,875,875,1.0000,15.86,18.00
cam-ros-rcs-yuv,ros_raw,820,840,0.0238,30.00,8.644,0.239,8.614,9.085,9.413,10.018,9.237,0.623,0,880,880,1.0000,22.46,24.00
cam-stream-usb_cam+gst_bridge-yuv-rtp,stream,839,840,0.0012,30.00,16.436,0.528,16.385,17.143,18.592,20.300,17.015,0.630,0,899,899,1.0000,34.21,38.00
cam-ros-gscam-mjpeg,ros_raw,818,840,0.0262,30.00,6.841,0.395,6.806,7.401,8.236,9.709,10.200,3.395,0,878,878,1.0000,18.07,20.00
cam-ros-usb_cam-yuv,ros_raw,823,840,0.0202,30.00,6.354,0.258,6.331,6.658,6.976,10.215,6.983,0.652,0,883,883,1.0000,15.25,18.00
cam-ros-rcs-mjpeg,ros_jpeg,820,840,0.0238,30.00,2.420,0.318,2.384,2.926,3.143,4.796,5.627,3.243,0,880,880,1.0000,0.79,2.00
cam-both-rcs-yuv-webrtc,stream,824,840,0.0190,30.00,9.571,0.681,9.450,10.539,12.419,14.424,10.083,0.633,0,884,884,1.0000,23.68,26.00
cam-both-rcs-yuv-webrtc,ros_raw,900,840,0.0000,30.01,6.587,0.478,6.527,6.835,8.728,13.250,7.160,0.633,0,960,960,1.0000,23.68,26.00
cam-stream-usb_cam+rtsp_fkie-yuv-h264,stream,836,840,0.0048,30.00,14.843,0.571,14.698,16.001,16.809,20.124,15.319,0.621,0,896,896,1.0000,26.89,30.00
cam-both-gscam+gst_bridge-mjpeg-rtp,stream,837,840,0.0036,30.00,20.342,1.035,20.183,21.684,23.952,32.147,23.738,3.555,0,897,897,1.0000,49.14,52.00
cam-both-gscam+gst_bridge-mjpeg-rtp,ros_raw,853,840,0.0000,30.00,10.373,0.629,10.304,11.112,12.804,17.144,13.859,3.555,0,913,913,1.0000,49.14,52.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,stream,833,840,0.0083,30.00,21.465,0.824,21.356,22.712,24.030,27.929,21.991,0.634,0,893,893,1.0000,36.43,38.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,ros_raw,900,840,0.0000,30.00,14.396,2.201,14.655,15.527,17.973,42.924,15.289,0.634,0,960,960,1.0000,36.43,38.00
